e_interaction,year_categories,m_rural,daterange,n,term2
1,2010-15,0,01-03-2010 to 18-02-2015,28049,Table Order 01
1,2017-18,0,23-12-2017 to 31-12-2018,3019,Table Order 01
1,2019-20,0,01-01-2019 to 02-03-2020,1800,Table Order 01
10,2017-18,0,01-04-2017 to 22-12-2017,3289,Table Order 02
9,2017-18,0,08-02-2017 to 31-03-2017,539,Table Order 03
8,2010-15,0,02-10-2016 to 31-12-2016,1236,Table Order 04
8,2017-18,0,01-01-2017 to 07-02-2017,454,Table Order 04
7,2010-15,0,12-08-2016 to 01-10-2016,742,Table Order 05
6,2010-15,0,05-04-2016 to 11-08-2016,1967,Table Order 06
5,2010-15,0,14-02-2016 to 04-04-2016,927,Table Order 07
4,2010-15,0,08-10-2015 to 13-02-2016,2310,Table Order 08
3,2010-15,0,18-08-2015 to 07-10-2015,888,Table Order 09
2,2010-15,0,19-02-2015 to 17-08-2015,2942,Table Order 10
19,2019-20,0,02-10-2020 to 14-12-2020,491,Table Order 11
18,2019-20,0,23-06-2020 to 01-10-2020,660,Table Order 12
17,2019-20,0,04-04-2020 to 22-06-2020,486,Table Order 13
16,2019-20,0,26-12-2019 to 03-04-2020,595,Table Order 14
15,2019-20,0,07-10-2019 to 25-12-2019,602,Table Order 15
14,2019-20,0,29-06-2019 to 06-10-2019,732,Table Order 16
13,2019-20,0,10-04-2019 to 28-06-2019,481,Table Order 17
12,2017-18,0,31-12-2018 to 31-12-2018,5,Table Order 18
12,2019-20,0,01-01-2019 to 09-04-2019,681,Table Order 18
11,2017-18,0,04-07-2018 to 30-12-2018,1399,Table Order 19
1,2010-15,1,02-02-2010 to 18-02-2015,82865,Table Order 01
1,2017-18,1,23-12-2017 to 31-12-2018,11704,Table Order 01
1,2019-20,1,01-01-2019 to 16-03-2020,7672,Table Order 01
10,2017-18,1,01-04-2017 to 22-12-2017,12675,Table Order 02
9,2017-18,1,08-02-2017 to 31-03-2017,2118,Table Order 03
8,2010-15,1,02-10-2016 to 31-12-2016,4359,Table Order 04
8,2017-18,1,01-01-2017 to 07-02-2017,1763,Table Order 04
7,2010-15,1,12-08-2016 to 01-10-2016,2729,Table Order 05
6,2010-15,1,05-04-2016 to 11-08-2016,7284,Table Order 06
5,2010-15,1,14-02-2016 to 04-04-2016,3250,Table Order 07
4,2010-15,1,08-10-2015 to 13-02-2016,7184,Table Order 08
3,2010-15,1,18-08-2015 to 07-10-2015,2764,Table Order 09
2,2010-15,1,19-02-2015 to 17-08-2015,10070,Table Order 10
19,2019-20,1,02-10-2020 to 14-12-2020,2195,Table Order 11
18,2019-20,1,23-06-2020 to 01-10-2020,2914,Table Order 12
17,2019-20,1,04-04-2020 to 22-06-2020,1838,Table Order 13
16,2019-20,1,26-12-2019 to 03-04-2020,2617,Table Order 14
15,2019-20,1,07-10-2019 to 25-12-2019,2338,Table Order 15
14,2019-20,1,29-06-2019 to 06-10-2019,2916,Table Order 16
13,2019-20,1,10-04-2019 to 28-06-2019,1870,Table Order 17
12,2017-18,1,31-12-2018 to 31-12-2018,28,Table Order 18
12,2019-20,1,01-01-2019 to 09-04-2019,2548,Table Order 18
11,2017-18,1,04-07-2018 to 30-12-2018,5375,Table Order 19
