e_interaction,year_categories,m_rural,daterange,n,term2
1,2010-15,0,03-01-2012 to 18-02-2015,14876,Table Order 01
1,2017-18,0,23-12-2017 to 31-12-2018,2860,Table Order 01
1,2019-20,0,01-01-2019 to 02-03-2020,1800,Table Order 01
10,2017-18,0,01-04-2017 to 22-12-2017,1483,Table Order 02
9,2017-18,0,08-02-2017 to 31-03-2017,239,Table Order 03
8,2010-15,0,07-10-2016 to 31-12-2016,22,Table Order 04
8,2017-18,0,01-01-2017 to 07-02-2017,120,Table Order 04
7,2010-15,0,16-08-2016 to 01-10-2016,14,Table Order 05
6,2010-15,0,05-04-2016 to 10-08-2016,364,Table Order 06
5,2010-15,0,14-02-2016 to 04-04-2016,357,Table Order 07
4,2010-15,0,08-10-2015 to 13-02-2016,1452,Table Order 08
3,2010-15,0,18-08-2015 to 07-10-2015,554,Table Order 09
2,2010-15,0,19-02-2015 to 17-08-2015,2045,Table Order 10
19,2010-15,0,01-01-2021 to 12-04-2021,177,Table Order 11
19,2019-20,0,02-10-2020 to 31-12-2020,560,Table Order 11
18,2019-20,0,23-06-2020 to 01-10-2020,660,Table Order 12
17,2019-20,0,04-04-2020 to 22-06-2020,486,Table Order 13
16,2019-20,0,26-12-2019 to 03-04-2020,595,Table Order 14
15,2019-20,0,07-10-2019 to 25-12-2019,602,Table Order 15
14,2019-20,0,29-06-2019 to 06-10-2019,732,Table Order 16
13,2019-20,0,10-04-2019 to 28-06-2019,481,Table Order 17
12,2017-18,0,31-12-2018 to 31-12-2018,5,Table Order 18
12,2019-20,0,01-01-2019 to 09-04-2019,681,Table Order 18
11,2017-18,0,04-07-2018 to 30-12-2018,1399,Table Order 19
1,2010-15,1,01-01-2012 to 18-02-2015,44408,Table Order 01
1,2017-18,1,23-12-2017 to 31-12-2018,11052,Table Order 01
1,2019-20,1,01-01-2019 to 16-03-2020,7672,Table Order 01
10,2017-18,1,01-04-2017 to 22-12-2017,5469,Table Order 02
9,2017-18,1,08-02-2017 to 31-03-2017,875,Table Order 03
8,2010-15,1,02-10-2016 to 31-12-2016,72,Table Order 04
8,2017-18,1,01-01-2017 to 07-02-2017,465,Table Order 04
7,2010-15,1,12-08-2016 to 01-10-2016,103,Table Order 05
6,2010-15,1,05-04-2016 to 11-08-2016,1200,Table Order 06
5,2010-15,1,14-02-2016 to 04-04-2016,1226,Table Order 07
4,2010-15,1,08-10-2015 to 13-02-2016,4200,Table Order 08
3,2010-15,1,18-08-2015 to 07-10-2015,1682,Table Order 09
2,2010-15,1,19-02-2015 to 17-08-2015,6479,Table Order 10
19,2010-15,1,01-01-2021 to 17-04-2021,983,Table Order 11
19,2019-20,1,02-10-2020 to 31-12-2020,2594,Table Order 11
18,2019-20,1,23-06-2020 to 01-10-2020,2914,Table Order 12
17,2019-20,1,04-04-2020 to 22-06-2020,1838,Table Order 13
16,2019-20,1,26-12-2019 to 03-04-2020,2617,Table Order 14
15,2019-20,1,07-10-2019 to 25-12-2019,2338,Table Order 15
14,2019-20,1,29-06-2019 to 06-10-2019,2916,Table Order 16
13,2019-20,1,10-04-2019 to 28-06-2019,1870,Table Order 17
12,2017-18,1,31-12-2018 to 31-12-2018,28,Table Order 18
12,2019-20,1,01-01-2019 to 09-04-2019,2548,Table Order 18
11,2017-18,1,04-07-2018 to 30-12-2018,5375,Table Order 19
