e_interaction,year_categories,m_rural,daterange,n,term2
1,2010-15,0,01-03-2010 to 18-02-2015,14739,Table Order 01
1,2017-18,0,23-12-2017 to 31-12-2018,1549,Table Order 01
1,2019-20,0,01-01-2019 to 02-03-2020,926,Table Order 01
10,2017-18,0,01-04-2017 to 22-12-2017,1711,Table Order 02
9,2017-18,0,08-02-2017 to 31-03-2017,281,Table Order 03
8,2010-15,0,02-10-2016 to 31-12-2016,633,Table Order 04
8,2017-18,0,01-01-2017 to 07-02-2017,236,Table Order 04
7,2010-15,0,12-08-2016 to 01-10-2016,406,Table Order 05
6,2010-15,0,05-04-2016 to 11-08-2016,1048,Table Order 06
5,2010-15,0,14-02-2016 to 04-04-2016,479,Table Order 07
4,2010-15,0,08-10-2015 to 13-02-2016,1236,Table Order 08
3,2010-15,0,18-08-2015 to 07-10-2015,452,Table Order 09
2,2010-15,0,19-02-2015 to 17-08-2015,1523,Table Order 10
19,2010-15,0,01-01-2021 to 28-03-2021,89,Table Order 11
19,2019-20,0,02-10-2020 to 31-12-2020,271,Table Order 11
18,2019-20,0,23-06-2020 to 01-10-2020,314,Table Order 12
17,2019-20,0,04-04-2020 to 22-06-2020,234,Table Order 13
16,2019-20,0,26-12-2019 to 02-04-2020,300,Table Order 14
15,2019-20,0,07-10-2019 to 25-12-2019,320,Table Order 15
14,2019-20,0,29-06-2019 to 06-10-2019,383,Table Order 16
13,2019-20,0,10-04-2019 to 28-06-2019,250,Table Order 17
12,2017-18,0,31-12-2018 to 31-12-2018,2,Table Order 18
12,2019-20,0,01-01-2019 to 09-04-2019,366,Table Order 18
11,2017-18,0,04-07-2018 to 30-12-2018,737,Table Order 19
1,2010-15,1,02-02-2010 to 18-02-2015,42925,Table Order 01
1,2017-18,1,23-12-2017 to 31-12-2018,6021,Table Order 01
1,2019-20,1,01-01-2019 to 13-03-2020,3980,Table Order 01
10,2017-18,1,01-04-2017 to 22-12-2017,6625,Table Order 02
9,2017-18,1,08-02-2017 to 31-03-2017,1064,Table Order 03
8,2010-15,1,02-10-2016 to 31-12-2016,2245,Table Order 04
8,2017-18,1,01-01-2017 to 07-02-2017,910,Table Order 04
7,2010-15,1,12-08-2016 to 01-10-2016,1415,Table Order 05
6,2010-15,1,05-04-2016 to 11-08-2016,3847,Table Order 06
5,2010-15,1,14-02-2016 to 04-04-2016,1667,Table Order 07
4,2010-15,1,08-10-2015 to 13-02-2016,3723,Table Order 08
3,2010-15,1,18-08-2015 to 07-10-2015,1445,Table Order 09
2,2010-15,1,19-02-2015 to 17-08-2015,5252,Table Order 10
19,2010-15,1,01-01-2021 to 17-04-2021,496,Table Order 11
19,2019-20,1,02-10-2020 to 31-12-2020,1288,Table Order 11
18,2019-20,1,23-06-2020 to 01-10-2020,1472,Table Order 12
17,2019-20,1,04-04-2020 to 22-06-2020,1006,Table Order 13
16,2019-20,1,26-12-2019 to 03-04-2020,1354,Table Order 14
15,2019-20,1,07-10-2019 to 25-12-2019,1176,Table Order 15
14,2019-20,1,29-06-2019 to 06-10-2019,1553,Table Order 16
13,2019-20,1,10-04-2019 to 28-06-2019,945,Table Order 17
12,2017-18,1,31-12-2018 to 31-12-2018,13,Table Order 18
12,2019-20,1,01-01-2019 to 09-04-2019,1315,Table Order 18
11,2017-18,1,04-07-2018 to 30-12-2018,2749,Table Order 19
