e_interaction,year_categories,m_rural,daterange,n,term2
1,2010-15,0,12-01-2015 to 18-02-2015,55,Table Order 01
1,2017-18,0,23-12-2017 to 31-12-2018,3034,Table Order 01
1,2019-20,0,01-01-2019 to 02-03-2020,1812,Table Order 01
10,2017-18,0,01-04-2017 to 22-12-2017,3311,Table Order 02
9,2017-18,0,08-02-2017 to 31-03-2017,540,Table Order 03
8,2010-15,0,02-10-2016 to 31-12-2016,1238,Table Order 04
8,2017-18,0,01-01-2017 to 07-02-2017,458,Table Order 04
7,2010-15,0,12-08-2016 to 01-10-2016,733,Table Order 05
6,2010-15,0,05-04-2016 to 11-08-2016,1614,Table Order 06
5,2010-15,0,14-02-2016 to 04-04-2016,574,Table Order 07
4,2010-15,0,08-10-2015 to 13-02-2016,864,Table Order 08
3,2010-15,0,18-08-2015 to 07-10-2015,335,Table Order 09
2,2010-15,0,19-02-2015 to 17-08-2015,901,Table Order 10
19,2010-15,0,01-01-2021 to 12-04-2021,178,Table Order 11
19,2019-20,0,02-10-2020 to 31-12-2020,564,Table Order 11
18,2019-20,0,23-06-2020 to 01-10-2020,660,Table Order 12
17,2019-20,0,04-04-2020 to 22-06-2020,489,Table Order 13
16,2019-20,0,26-12-2019 to 03-04-2020,597,Table Order 14
15,2019-20,0,07-10-2019 to 25-12-2019,603,Table Order 15
14,2019-20,0,29-06-2019 to 06-10-2019,734,Table Order 16
13,2019-20,0,10-04-2019 to 28-06-2019,481,Table Order 17
12,2017-18,0,31-12-2018 to 31-12-2018,5,Table Order 18
12,2019-20,0,01-01-2019 to 09-04-2019,684,Table Order 18
11,2017-18,0,04-07-2018 to 30-12-2018,1400,Table Order 19
1,2010-15,1,07-01-2015 to 18-02-2015,166,Table Order 01
1,2017-18,1,23-12-2017 to 31-12-2018,11760,Table Order 01
1,2019-20,1,01-01-2019 to 16-03-2020,7706,Table Order 01
10,2017-18,1,01-04-2017 to 22-12-2017,12742,Table Order 02
9,2017-18,1,08-02-2017 to 31-03-2017,2130,Table Order 03
8,2010-15,1,02-10-2016 to 31-12-2016,4354,Table Order 04
8,2017-18,1,01-01-2017 to 07-02-2017,1773,Table Order 04
7,2010-15,1,12-08-2016 to 01-10-2016,2637,Table Order 05
6,2010-15,1,05-04-2016 to 11-08-2016,6120,Table Order 06
5,2010-15,1,14-02-2016 to 04-04-2016,2033,Table Order 07
4,2010-15,1,08-10-2015 to 13-02-2016,2995,Table Order 08
3,2010-15,1,18-08-2015 to 07-10-2015,1086,Table Order 09
2,2010-15,1,19-02-2015 to 17-08-2015,3613,Table Order 10
19,2010-15,1,01-01-2021 to 17-04-2021,991,Table Order 11
19,2019-20,1,02-10-2020 to 31-12-2020,2606,Table Order 11
18,2019-20,1,23-06-2020 to 01-10-2020,2925,Table Order 12
17,2019-20,1,04-04-2020 to 22-06-2020,1842,Table Order 13
16,2019-20,1,26-12-2019 to 03-04-2020,2629,Table Order 14
15,2019-20,1,07-10-2019 to 25-12-2019,2346,Table Order 15
14,2019-20,1,29-06-2019 to 06-10-2019,2932,Table Order 16
13,2019-20,1,10-04-2019 to 28-06-2019,1886,Table Order 17
12,2017-18,1,31-12-2018 to 31-12-2018,29,Table Order 18
12,2019-20,1,01-01-2019 to 09-04-2019,2567,Table Order 18
11,2017-18,1,04-07-2018 to 30-12-2018,5412,Table Order 19
