m_rural,variable,group,Pre-lockdown,Post-lockdown
no,c_haz,NA,"-1.1 (-1.2, -1.1)","-1.1 (-1.2, -1.1)"
no,c_waz,NA,"-1.2 (-1.2, -1.1)","-1.1 (-1.2, -1.1)"
no,c_whz,NA,"-0.7 (-0.8, -0.7)","-0.7 (-0.7, -0.6)"
no,m_age,NA,"27.8 (27.7, 28)","28.1 (28, 28.3)"
no,m_height,NA,"152.6 (152.4, 152.8)","152.4 (152.2, 152.6)"
no,m_bmi,NA,"23 (22.9, 23.2)","23.9 (23.7, 24.1)"
no,c_stunting,no,"70.1 (68.6, 71.6)","71.9 (70.6, 73.2)"
no,c_stunting,yes,"29.9 (28.4, 31.4)","28.1 (26.8, 29.4)"
no,c_underweight,no,"76.6 (75.4, 77.9)","77.4 (76.2, 78.6)"
no,c_underweight,yes,"23.4 (22.1, 24.6)","22.6 (21.4, 23.8)"
no,c_wasting,no,"82.4 (81.1, 83.6)","84.6 (83.6, 85.5)"
no,c_wasting,yes,"17.6 (16.4, 18.9)","15.4 (14.5, 16.4)"
no,c_overweight,no,"96.4 (95.9, 96.9)","96.4 (95.9, 96.8)"
no,c_overweight,yes,"3.6 (3.1, 4.1)","3.6 (3.2, 4.1)"
no,m_alcohol,no,"98.8 (98.4, 99.2)","99.6 (99.5, 99.8)"
no,m_alcohol,yes,"1.2 (0.8, 1.6)","0.4 (0.2, 0.5)"
no,m_smoking,no,"97.1 (96.5, 97.6)","98.9 (98.6, 99.1)"
no,m_smoking,yes,"2.9 (2.4, 3.5)","1.1 (0.9, 1.4)"
no,m_caste,General,"27.5 (25.6, 29.5)","23.3 (21.8, 24.8)"
no,m_caste,OBC,"44.1 (41.8, 46.5)","52.3 (50.3, 54.3)"
no,m_caste,Schedule Caste,"25.5 (23, 27.9)","21.1 (19.3, 23)"
no,m_caste,Schedule Tribe,"2.9 (2.3, 3.4)","3.3 (2.8, 3.8)"
no,m_wealthq,Lowest,"4.2 (3.4, 5.1)","3.2 (2.6, 3.9)"
no,m_wealthq,Low,"7.9 (7, 8.9)","7.5 (6.6, 8.5)"
no,m_wealthq,Medium,"17 (15.6, 18.4)","15.1 (14, 16.2)"
no,m_wealthq,High,"27.6 (26, 29.1)","28.1 (26.7, 29.5)"
no,m_wealthq,Highest,"43.3 (41.2, 45.3)","46 (44.1, 47.9)"
no,m_religion,Hindu,"85.2 (83.3, 87)","75.8 (73.7, 77.9)"
no,m_religion,Muslim,"11.9 (10.1, 13.6)","19.3 (17.3, 21.4)"
no,m_religion,Other,"3 (2.4, 3.5)","4.9 (4.1, 5.7)"
no,m_education,Higher,"28.9 (27.1, 30.6)","31.4 (29.8, 32.9)"
no,m_education,No education,"14.7 (13.1, 16.3)","12.1 (10.9, 13.2)"
no,m_education,Primary,"10.7 (9.7, 11.8)","8.8 (7.9, 9.7)"
no,m_education,Secondary,"45.7 (43.9, 47.5)","47.8 (46.3, 49.2)"
no,m_weightstatus,Normal,"60.3 (58.6, 62)","55.2 (53.7, 56.8)"
no,m_weightstatus,Overweight or Obese,"27 (25.4, 28.6)","35.2 (33.7, 36.8)"
no,m_weightstatus,Underweight,"12.7 (11.6, 13.7)","9.5 (8.7, 10.4)"
yes,c_haz,NA,"-1.4 (-1.5, -1.4)","-1.5 (-1.5, -1.4)"
yes,c_waz,NA,"-1.4 (-1.4, -1.3)","-1.4 (-1.4, -1.4)"
yes,c_whz,NA,"-0.8 (-0.8, -0.7)","-0.8 (-0.8, -0.8)"
yes,m_age,NA,"27 (26.9, 27.1)","27.1 (27.1, 27.2)"
yes,m_height,NA,"152.1 (151.9, 152.2)","151.6 (151.5, 151.7)"
yes,m_bmi,NA,"21.3 (21.3, 21.4)","21.7 (21.6, 21.7)"
yes,c_stunting,no,"62.5 (61.7, 63.3)","63.6 (63, 64.3)"
yes,c_stunting,yes,"37.5 (36.7, 38.3)","36.4 (35.7, 37)"
yes,c_underweight,no,"71.4 (70.6, 72.1)","69.7 (69.1, 70.3)"
yes,c_underweight,yes,"28.6 (27.9, 29.4)","30.3 (29.7, 30.9)"
yes,c_wasting,no,"82.8 (82.2, 83.4)","83.3 (82.8, 83.8)"
yes,c_wasting,yes,"17.2 (16.6, 17.8)","16.7 (16.2, 17.2)"
