variable,group,Urban_2019-20,Urban_2020-21,Rural_2019-20,Rural_2020-21,Total_2019-20,Total_2020-21
c_haz,NA,"-1.1 (-1.2, -1.1)","-1.1 (-1.2, -1.1)","-1.4 (-1.5, -1.4)","-1.5 (-1.5, -1.4)","-1.4 (-1.4, -1.3)","-1.4 (-1.4, -1.4)"
c_waz,NA,"-1.2 (-1.2, -1.1)","-1.1 (-1.2, -1.1)","-1.4 (-1.4, -1.3)","-1.4 (-1.4, -1.4)","-1.3 (-1.3, -1.3)","-1.4 (-1.4, -1.3)"
c_whz,NA,"-0.7 (-0.8, -0.7)","-0.7 (-0.7, -0.6)","-0.8 (-0.8, -0.7)","-0.8 (-0.8, -0.8)","-0.7 (-0.8, -0.7)","-0.8 (-0.8, -0.8)"
m_age,NA,"27.8 (27.7, 28)","28.1 (28, 28.3)","27 (26.9, 27.1)","27.1 (27.1, 27.2)","27.2 (27.1, 27.3)","27.4 (27.3, 27.4)"
m_height,NA,"152.6 (152.4, 152.8)","152.4 (152.2, 152.6)","152.1 (152, 152.2)","151.6 (151.5, 151.7)","152.2 (152.1, 152.3)","151.8 (151.7, 151.9)"
m_bmi,NA,"23 (22.9, 23.2)","23.9 (23.7, 24.1)","21.3 (21.3, 21.4)","21.7 (21.6, 21.7)","21.8 (21.7, 21.8)","22.2 (22.2, 22.3)"
exposure_estimate,NA,"0 (0, 0)","-10 (-10.2, -9.7)","0 (0, 0)","-10.1 (-10.2, -9.9)","0 (0, 0)","-10.1 (-10.2, -9.9)"
p1_estimate,NA,"NaN (NaN, NaN)","-4.5 (-4.8, -4.3)","NaN (NaN, NaN)","-5 (-5.1, -4.8)","NaN (NaN, NaN)","-4.8 (-5, -4.7)"
p2_estimate,NA,"NaN (NaN, NaN)","-6.7 (-7, -6.4)","NaN (NaN, NaN)","-6.7 (-6.8, -6.5)","NaN (NaN, NaN)","-6.7 (-6.8, -6.6)"
p3_estimate,NA,"NaN (NaN, NaN)","-7.4 (-7.8, -7.1)","NaN (NaN, NaN)","-6.9 (-7.1, -6.8)","NaN (NaN, NaN)","-7 (-7.2, -6.9)"
p4_estimate,NA,"NaN (NaN, NaN)","-7.1 (-7.4, -6.8)","NaN (NaN, NaN)","-6.6 (-6.8, -6.5)","NaN (NaN, NaN)","-6.7 (-6.9, -6.6)"
p5_estimate,NA,"NaN (NaN, NaN)","-7.4 (-7.7, -7.1)","NaN (NaN, NaN)","-7 (-7.1, -6.9)","NaN (NaN, NaN)","-7.1 (-7.2, -7)"
c_stunting,NA,"29.9 (28.4, 31.4)","28.1 (26.8, 29.4)","37.5 (36.7, 38.2)","36.4 (35.7, 37)","35.6 (34.9, 36.3)","34.3 (33.7, 34.9)"
c_underweight,NA,"23.4 (22.1, 24.6)","22.6 (21.4, 23.8)","28.6 (28, 29.3)","30.3 (29.7, 30.9)","27.3 (26.7, 27.9)","28.4 (27.8, 28.9)"
c_wasting,NA,"17.6 (16.5, 18.8)","15.4 (14.5, 16.4)","17.2 (16.6, 17.8)","16.7 (16.2, 17.2)","17.3 (16.8, 17.8)","16.4 (15.9, 16.8)"
c_overweight,NA,"3.6 (3.1, 4.1)","3.6 (3.2, 4.1)","3.3 (3.1, 3.6)","2.3 (2.1, 2.5)","3.4 (3.2, 3.6)","2.7 (2.5, 2.8)"
m_caste,General,"27.5 (25.8, 29.3)","23.3 (21.9, 24.7)","15.8 (15.1, 16.6)","13.3 (12.6, 13.9)","18.7 (18, 19.5)","15.8 (15.2, 16.4)"
m_caste,OBC,"44.1 (42, 46.3)","52.3 (50.4, 54.2)","47.9 (46.8, 49.1)","45.7 (44.7, 46.7)","47 (46, 48)","47.4 (46.5, 48.3)"
m_caste,Schedule Caste,"25.5 (23.1, 27.8)","21.1 (19.3, 23)","27.3 (26.3, 28.2)","25.5 (24.6, 26.5)","26.8 (25.9, 27.8)","24.4 (23.6, 25.3)"
m_caste,Schedule Tribe,"2.9 (2.3, 3.4)","3.3 (2.8, 3.8)","9 (8.3, 9.6)","15.5 (14.8, 16.1)","7.5 (7, 8)","12.4 (11.9, 12.9)"
m_wealthq,Lowest,"4.2 (3.4, 5)","3.2 (2.6, 3.8)","27.9 (27, 28.8)","30.9 (30.1, 31.7)","22 (21.3, 22.7)","23.9 (23.3, 24.6)"
m_wealthq,Low,"7.9 (7.1, 8.8)","7.5 (6.6, 8.5)","27.3 (26.5, 28.1)","24.3 (23.6, 25)","22.5 (21.9, 23.2)","20.1 (19.5, 20.6)"
m_wealthq,Medium,"17 (15.6, 18.4)","15.1 (14, 16.2)","21 (20.3, 21.7)","19.4 (18.8, 20)","20 (19.4, 20.6)","18.3 (17.8, 18.9)"
m_wealthq,High,"27.6 (26, 29.1)","28.1 (26.8, 29.5)","15.4 (14.7, 16)","15.4 (14.8, 15.9)","18.4 (17.8, 19)","18.6 (18.1, 19.1)"
m_wealthq,Highest,"43.3 (41.3, 45.2)","46 (44.2, 47.8)","8.5 (7.9, 9)","10 (9.5, 10.5)","17.1 (16.4, 17.7)","19.1 (18.5, 19.7)"
m_religion,Hindu,"85.2 (83.4, 86.9)","75.8 (73.8, 77.8)","87.9 (87.1, 88.8)","85.5 (84.7, 86.3)","87.2 (86.5, 88)","83.1 (82.3, 83.9)"
m_religion,Muslim,"11.9 (10.2, 13.5)","19.3 (17.4, 21.3)","8.6 (7.8, 9.4)","9.6 (8.9, 10.3)","9.4 (8.7, 10.1)","12 (11.3, 12.8)"
m_religion,Other,"3 (2.5, 3.5)","4.9 (4.2, 5.6)","3.5 (3.2, 3.8)","4.9 (4.5, 5.3)","3.4 (3.1, 3.6)","4.9 (4.6, 5.2)"
m_education,Higher,"28.9 (27.2, 30.5)","31.4 (29.9, 32.9)","10.6 (10.1, 11.1)","14.8 (14.2, 15.5)","15.2 (14.6, 15.7)","19 (18.4, 19.6)"
m_education,No education,"14.7 (13.2, 16.3)","12.1 (10.9, 13.2)","27.8 (26.9, 28.6)","23 (22.3, 23.6)","24.5 (23.8, 25.3)","20.2 (19.6, 20.8)"
m_education,Primary,"10.7 (9.7, 11.8)","8.8 (8, 9.7)","15.1 (14.5, 15.6)","13 (12.5, 13.5)","14 (13.5, 14.5)","12 (11.5, 12.4)"
m_education,Secondary,"45.7 (43.9, 47.4)","47.8 (46.3, 49.2)","46.5 (45.6, 47.3)","49.2 (48.5, 49.9)","46.3 (45.5, 47.1)","48.8 (48.2, 49.5)"
