variable,category,S22 NFHS-4,S22 NFHS-5 Pre-lockdown,MIS NFHS-4,MIS NFHS-5 Pre-lockdown,MIS NFHS-5 Post-lockdown
c_haz,NA,"-1.4 (-1.4, -1.4)","-1.3 (-1.4, -1.3)","NaN (NaN, NaN)","0.6 (0.4, 0.7)","0.1 (-0.1, 0.3)"
c_waz,NA,"-1.5 (-1.6, -1.5)","-1.5 (-1.5, -1.5)","NaN (NaN, NaN)","-2.2 (-2.3, -2.1)","-2.4 (-2.5, -2.3)"
c_whz,NA,"-1 (-1.1, -1)","-1 (-1, -0.9)","NaN (NaN, NaN)","-0.2 (-0.4, 0.1)","-0.1 (-0.3, 0.1)"
m_bmi,NA,"21.2 (21.1, 21.3)","21.8 (21.7, 21.8)","21.1 (21, 21.2)","21.6 (21.5, 21.7)","22.1 (22, 22.3)"
c_stunting,no,"68.4 (67.8, 68.9)","68.1 (67.6, 68.6)","100 (100, 100)","95.6 (95.1, 96.2)","96.1 (95.7, 96.6)"
c_stunting,yes,"31.6 (31.1, 32.2)","31.9 (31.4, 32.4)",NA,"4.4 (3.8, 4.9)","3.9 (3.4, 4.3)"
c_underweight,no,"70 (69.5, 70.5)","68.8 (68.3, 69.3)","100 (100, 100)","80.3 (79, 81.5)","85.5 (84.5, 86.5)"
c_underweight,yes,"30 (29.5, 30.5)","31.2 (30.7, 31.7)",NA,"19.7 (18.5, 21)","14.5 (13.5, 15.5)"
c_wasting,no,"81.8 (81.4, 82.2)","81.4 (80.9, 81.9)","100 (100, 100)","97.8 (97.5, 98.2)","98.8 (98.5, 99)"
c_wasting,yes,"18.2 (17.8, 18.6)","18.6 (18.1, 19.1)",NA,"2.2 (1.8, 2.5)","1.2 (1, 1.5)"
c_overweight,no,"98.4 (98.3, 98.6)","96.9 (96.7, 97.1)","100 (100, 100)","98.2 (97.9, 98.5)","98.7 (98.5, 99)"
c_overweight,yes,"1.6 (1.4, 1.7)","3.1 (2.9, 3.3)",NA,"1.8 (1.5, 2.1)","1.3 (1, 1.5)"
m_alcohol,no,"99 (98.8, 99.1)","99.1 (99, 99.2)","98.5 (98.3, 98.8)","98.4 (98.1, 98.8)","99 (98.7, 99.3)"
m_alcohol,yes,"1 (0.9, 1.2)","0.9 (0.8, 1)","1.5 (1.2, 1.7)","1.6 (1.2, 1.9)","1 (0.7, 1.3)"
m_smoking,no,"95.3 (95, 95.6)","97 (96.8, 97.2)","91.6 (91, 92.2)","94.9 (94.2, 95.5)","97 (96.5, 97.4)"
m_smoking,yes,"4.7 (4.4, 5)","3 (2.8, 3.2)","8.4 (7.8, 9)","5.1 (4.5, 5.8)","3 (2.6, 3.5)"
m_rural,no,"28.9 (27.4, 30.3)","28.1 (26.7, 29.4)","28.3 (26.4, 30.1)","24.2 (22.3, 26.1)","28.9 (26.9, 31)"
m_rural,yes,"71.1 (69.7, 72.6)","71.9 (70.6, 73.3)","71.7 (69.9, 73.6)","75.8 (73.9, 77.7)","71.1 (69, 73.1)"
m_caste,General,"31.3 (30.4, 32.2)","29.4 (28.5, 30.3)","16.1 (15.3, 17)","19.3 (18, 20.6)","16.5 (15.3, 17.7)"
m_caste,OBC,"39.4 (38.4, 40.3)","39.8 (39, 40.6)","47.9 (46.5, 49.2)","45.6 (43.9, 47.3)","46.6 (45, 48.3)"
m_caste,Schedule Caste,"19.2 (18.5, 19.9)","21 (20.3, 21.7)","23.6 (22.5, 24.6)","25.9 (24.5, 27.4)","25.1 (23.6, 26.5)"
m_caste,Schedule Tribe,"10.1 (9.5, 10.7)","9.8 (9.3, 10.3)","12.4 (11.3, 13.5)","9.1 (8.1, 10.2)","11.8 (10.8, 12.8)"
m_wealthq,Lowest,"24.3 (23.5, 25.2)","25.7 (24.9, 26.6)","30 (28.8, 31.1)","26.6 (25.1, 28.1)","25 (23.6, 26.4)"
m_wealthq,Low,"22.7 (22, 23.3)","22.2 (21.6, 22.8)","20.8 (19.9, 21.7)","23.3 (22, 24.6)","20.5 (19.3, 21.8)"
m_wealthq,Medium,"20.6 (20, 21.2)","20.2 (19.6, 20.7)","18.3 (17.4, 19.1)","18.8 (17.6, 19.9)","17.5 (16.4, 18.6)"
m_wealthq,High,"19.2 (18.5, 20)","18.7 (18.1, 19.3)","16 (14.4, 17.5)","16.1 (14.9, 17.2)","16.5 (15.4, 17.6)"
m_wealthq,Highest,"13.1 (12.5, 13.8)","13.2 (12.5, 13.8)","15 (14, 16)","15.2 (14, 16.5)","20.4 (19, 21.9)"
m_religion,Hindu,"74.1 (73.1, 75.1)","74.3 (73.3, 75.3)","82.4 (81.4, 83.4)","86.1 (84.8, 87.4)","77.7 (76.2, 79.3)"
m_religion,Muslim,"20.6 (19.6, 21.6)","21.2 (20.2, 22.2)","13.5 (12.5, 14.4)","11.1 (9.9, 12.3)","17.5 (16, 19)"
